Transaction date,Description,Amount,Pending/posted
07/19/2021,Shell Oil 575421537qps Houston Tx,-10.80,posted
07/19/2021,Instant transfer between Aspiration Spend and Aspiration Save,10.98,posted
07/19/2021,Instant transfer between Aspiration Spend and Aspiration Save,-5.98,posted
07/19/2021,Sunoco 0204989800 Qps Houston Tx,-1.50,posted
07/19/2021,Shell Oil 575421537qps Houston Tx,-17.67,posted
07/19/2021,Instant transfer between Aspiration Spend and Aspiration Save,-5.00,posted
07/19/2021,Sunoco 0204989800 Qps Houston Tx,-8.12,posted
07/19/2021,Ach Venmo Addfunds 1014730353478,-0.30,posted
07/19/2021,Deposit Verification,0.50,posted
07/19/2021,Ach Venmo Cashout,23.30,posted
07/19/2021,Ach Venmo Cashout,5.35,posted
07/19/2021,Ach Venmo Cashout,9.07,posted
07/16/2021,Sunoco 02049898 Houston Tx,-8.12,posted
07/16/2021,Aspiration Pay What is Fair,-5.00,posted
07/16/2021,Ach Venmo Cashout,8.97,posted
07/16/2021,Ach Venmo Cashout,4.50,posted
07/15/2021,"Transfer to JPMORGAN CHASE BANK, NA (Checking - x3886)",-0.30,posted
06/30/2021,Sunoco 0204989800 Qps Houston Tx,-0.54,posted
06/27/2021,Pp Google Igs 4029357733 Ca,-1.06,posted
06/25/2021,Ach Square Inc Cash App,1.13,posted
06/01/2021,Cashback Rewards Payment,0.01,posted
05/19/2021,Google Igs Internet Ca,-1.06,posted
05/19/2021,Google Igs Internet Ca,-1.06,posted
05/19/2021,Google Igs Internet Ca,-1.06,posted
05/18/2021,Google Igs G.Co Helppay# Ca,-1.06,posted
05/16/2021,Instant transfer between Aspiration Spend and Aspiration Save,5.00,posted
